saqari'n,5
nya',1
jun,345
rtzil,1
áwchaq,4
qus,36
apetikaq,2
xilj,19
qachooch,1
lajori,96
nab'ee,8
b'ka',2
tqak'amowaj,2
re,482
ajaw,8
jwi'l,68
ya'l,3
qetam,5
ri,185
tyo'w,3
chqe,66
ojb'it,2
q'iij,47
chik,75
tsipán,2
teew,11
tqil,13
k'axk'ol,3
tye',3
rib',20
rk'ilaq,10
yaq,15
ék'l,50
k'ojol,4
wunaq,53
ta',316
chki',99
tqaloq'aj,3
qleen,82
tisipaj,1
xaq,47
chaq,96
tketsaj,1
chee',19
tqat'oj,1
mees,1
laq,46
jaa',55
ji',30
jlon,36
li,348
tqab'an,18
eh,360
ojb'now,2
ooj,137
chqaj,11
ah,25
tya'saj,9
looq',22
k'ax,26
ronojel,2
tsipaj,3
chwaj,24
tinyol,12
chawechaq,33
tran,92
k'etzan,4
inmaam,28
ójr,66
txuk,1
na,54
riib',1
tjta',11
we,23
tjkat,1
ra,117
kita',47
tjakat,1
tqa'an,13
jilon,15
twi',2
b'ee,12
tkan,6
qat'oje',1
tqaye',7
jq'iijal,1
tb'ij,37
cuand,64
wi',303
sinik,1
tb'en,4
tqakamsaj,1
xran,3
ka'n,37
kita'n,2
ojche',8
chak,12
xakamsaj,1
taq,669
pok,8
tilooq'aj,1
tb'ansaj,7
qakomoon,9
ojoj,3
ajtijonel,1
ojchaakún,1
rk'il,24
tra,64
tril,18
muul,1
snik,2
tk'am,4
tjut,1
tzaq,2
entos,8
qachaak,6
tqab'ij,14
rechaq,92
tlooq'aj,1
nuuch',12
per,53
jchaakaq;,1
kmo,7
tk'ut,3
chqáwch,17
nemo,26
chaak,22
puq',1
kristyan,73
qek'an,1
rajwáxk,4
tqamulaj,3
qachóq'b',5
qe,50
kaxlan,18
tziij,46
tiye',1
sub'laj,8
rwi',1
quleew,4
ajsik,2
ch'amq',1
tresajch,2
jal,23
kyeq,15
q'eq,3
saq,16
q'an,1
cond,11
tq'ajch,1
loch'ooj,1
tmulaj,1
chíwch,7
jtyoox,1
txukar,9
jaa,36
tk'omowaj,1
xya'saj,4
qáw,4
nojel,7
tinyoloow,1
ak'laq,2
inyoloow,12
chib',10
komoon,3
inchaakun,3
iin,152
jb'iijvr,1
qayólj,29
k'ii,36
sachál,6
che',30
tyol,10
sachálk,1
kla',91
k'iche',3
como,38
uxub',2
puq,3
tyoloow,6
uspanteko,26
petzal,8
ajb'iij,2
kiib',18
tjb'ij,33
quizachal,2
jb'iij,11
t'eel,13
jeli,6
nim,42
k'achee'laj,4
tq'ax,10
b'ik,67
tb'e,25
lúwr,6
toke',1
tmole'w,2
íxim,5
kape,1
juntiir,77
tme',1
jli,48
ni'j,19
koj,2
utiiw,2
tijtij,10
tsách,8
sach,3
k'u,17
tb'ijsaj,4
xsach,1
kla'li,1
jyóljaq,1
uspanteko;,1
k'íche',1
k'i,6
chachal,3
chirij,11
ruleew,4
sachal,1
muluul,1
mulmik,1
komo,7
tne',2
uu,2
chilem,1
ta,17
tqachol,1
riij,3
tqachomrsaj,1
rojóxkvr,1
jb'ij,11
nen,93
jb'anik,11
rojóxk,3
tqak'ut,10
chiwchaq,1
intiit',6
mer,4
rojox,1
tqata'w,1
tinmit,23
tz'unun,8
kaab',14
ojyoloow,4
chki'n,7
ka,2
qaajchuuch,5
rojóx,1
jelon,2
emm,1
eeeh,28
q'aaq',13
ojsutar,2
nchuuch,1
xab'an,5
tijob'al,2
tta',6
oj'ook,1
t'ook,3
chyolik,1
innuuch',1
jlonvr,1
tinb'an,18
tqatij,14
rk'an,5
twi'n,2
jchuuchaq,1
tchomorsaj,1
tral,3
jlan,4
qab'antájk,8
laj,105
qochooch,1
rik'u,1
b'ka,2
tzi,19
tk'om,1
k'amo,1
k'amtzáwch,5
k'amtzáwchaq,2
juntiro,4
ínb'j,2
ari,29
teresa,1
mulul,1
aj,14
uspantán,19
ák'laq,3
chub',20
kuréxm,15
chínwch,9
k'utul,4
chínwxaq,2
chu,6
wchooch,7
tijsaj,4
jooch',2
kinaq,2
kar,4
saqmol,2
chooch,1
intíos,1
are,4
pacayas,1
pach,14
kinaq;,1
chuch,36
com,36
man,99
transaj,4
tat,1
ojatin,1
k'is,67
awas,1
kirtyan,15
ti'el,3
b'anik,3
