bamos,6
comunicarnos,1
catarina,3
us,3
estayul,2
ablante,2
idima,1
uspanteka,3
bondadosamente,1
relatar,8
inportacia,1
cudado,1
ademas,2
autorisa,1
mas,105
uspanteko,34
se,26
inportancia,1
baay,94
antonses,8
chib'aanik,1
tanb'ij,27
iin,348
jinon,81
li,1548
tijb'ij,90
taq,1904
qaqaaj,75
qachuuch,29
toos,74
tinb'ij,37
qamaam,23
qet'o,1
ójor,100
tziij,81
qet',3
cha',969
kongan,4
chee',104
sii',32
ri',412
kongana,1
naqaaj,4
nimaq,28
entons,46
kwand,130
wi',863
tpeti,2
jaab',15
kwando,44
ta't,1
pores,24
ooj,274
xojk'iyk,1
ojb'enaa,2
atb'i'tqa',1
jataq,1
per,256
makataq,1
maq,198
ra,656
porke,111
nimi',11
jq'iij,25
nosol,1
ma'an,3
re,1669
tra,209
makach',1
jwich,84
atyuter,1
lajasok,1
ta',1005
t'el,17
awanm,4
atkamk,1
toons,4
limaq,3
maa,16
b'ensaj,1
k'ex,115
jpetiik,1
marechtqe,3
jun,1158
kib',56
uxub',28
q'iij,206
noke,13
ri,522
rere,1
tijya's,1
tijya',12
teew,25
rech,19
taqajik',1
qúxb',1
lamaas,38
tpew,4
mism,29
jwi'li',12
tons,94
mxaqtb'ka',1
tambyeen,12
tkojsaj,7
tzko'ri,1
laqaxo'l,1
li',4
wetji'noon,1
chi,355
qe,329
kom,210
ma,70
jita',2
chki',185
qíjil,2
qatz'áqt,3
masi',4
k'is,96
sach,24
che',124
tijye',40
tichkoni'n,1
komoo,13
diyoos,55
miyo,3
tanta'in,1
pok,42
lajwanim,1
staq,2
komo,45
tijyoq',1
jfoot,1
neen,268
tab'an,34
man,837
ka',23
k'eer,5
weyin,12
tib'ew,1
chwe,83
marita',2
jcholájl,12
tiyolow,10
jpetik,5
tqayoq',1
nik'i,2
pech,32
kondo,2
kita',247
ojyolowk,1
tosee,4
qab'iji'n,1
pure,1
aay,25
pixb'likat,1
jchuchi',1
kistyan,18
tqab'ij,29
b'ijb'ik,1
tqa,41
tqayoq'b'ik,1
moo,65
tqyoq',1
chub',38
qchoch,3
tyaw,1
quxb',2
mat,17
q'aaq',31
chaq,419
sewr,8
jiq',1
jq'aaq'al,3
etern,1
qeet',3
tisik'in,2
tya'w,3
tb'enow,3
qa,59
pulmon,1
qache',1
loq'laj,79
k'aam,4
jnonli,3
rechaq,184
rem,1
jb'anik,47
rka',64
kee,8
inportanti'n,1
rejwexki',5
yoloj,5
matja'tisach,1
ke,340
tqaye',17
bween,1
